@relation abalone_output
@attribute null {Male,Female,Infant}
@attribute percentage numeric
@data
Infant,1.0
Infant,1.0
Male,1.0
Male,1.0
Infant,0.5202499214795709
Infant,0.5381353406572708
Male,1.0
Male,0.5924346163461308
Male,0.5665330776751284
Female,1.0
Female,0.5281634223431779
Female,0.5040753973345953
Female,0.5089129603624267
Male,1.0
Male,1.0
Female,0.5039201649034921
Infant,1.0
Male,0.5043902738771073
Infant,1.0
Male,1.0
Male,1.0
Female,1.0
Male,1.0
Female,1.0
Female,0.5716503023081728
Male,1.0
Male,0.6038415587413355
Male,0.613079848905649
Male,1.0
Female,0.5336428116283598
Male,1.0
Male,1.0
Infant,1.0
Infant,0.5401482198319708
Male,0.6654334941014416
Infant,0.5214733580724805
Female,1.0
Infant,1.0
Male,0.5658929853895599
Male,1.0
Female,0.5956176020729524
Male,1.0
Infant,0.7255066185772188
Infant,1.0
Male,0.6843911435422881
Infant,1.0
Male,0.5022133581102705
Infant,1.0
Infant,1.0
Female,1.0
Infant,1.0
Infant,1.0
Male,0.5177840089159801
Male,0.5930861571419669
Infant,1.0
Male,1.0
Infant,0.7531724654307634
Male,0.5925302016659312
Infant,1.0
Infant,0.6098446768495182
Infant,1.0
Male,0.5458281996822303
Male,1.0
Infant,1.0
Infant,1.0
Male,0.5184997915862523
Male,0.6473434776187769
Infant,0.5454957619175749
Female,0.5406171339159525
Infant,1.0
Male,1.0
Female,0.5201759566949776
Male,1.0
Male,0.5263150487215886
Male,0.5486191884743579
Male,1.0
Male,0.5486412025249178
Female,1.0
Infant,0.5189110612862283
Female,0.5616885330749439
Male,0.7020263342436038
Male,0.5533033836897939
Female,0.5749152807921104
Infant,0.6600767997422443
Female,0.5606956350691735
Male,1.0
Infant,0.6705069418593462
Female,1.0
Infant,0.5534407077906068
Male,1.0
Male,1.0
Male,0.5917895607724362
Female,1.0
Female,1.0
Male,1.0
Male,1.0
Male,0.5015814119355061
Infant,1.0
Infant,1.0
Male,0.509237805011615
Infant,1.0
Male,1.0
Male,1.0
Male,1.0
Female,0.6069706527696245
Female,0.537384581680247
Female,0.5187408225137469
Male,1.0
Female,0.5567549279497507
Male,1.0
Male,0.5174388627102986
Female,1.0
Male,1.0
Male,1.0
Male,1.0
Female,0.5520577386860297
Female,0.5984946498931989
Female,0.5141950694444203
Female,0.6165929990687231
Female,0.6065232251844668
Female,0.6412829033436264
Infant,1.0
Male,0.5738515532863878
Infant,1.0
Male,0.5706441696057547
Infant,1.0
Infant,1.0
Male,0.5000316784652667
Infant,0.5266523329147367
Infant,1.0
Female,1.0
Male,1.0
Male,0.5372546092106414
Infant,1.0
Infant,1.0
Infant,1.0
Infant,0.5485411005011734
Male,1.0
Male,1.0
Male,1.0
Female,0.5246401130726659
Male,0.5325274425882366
Female,1.0
Female,1.0
Female,0.5491411133012882
Female,0.5273335166623031
Male,1.0
Male,1.0
Infant,1.0
Infant,0.5944520130350609
Male,1.0
Male,1.0
Female,1.0
Female,0.5252029037608414
Male,1.0
Male,1.0
Male,0.5958829774529544
Female,1.0
Male,1.0
Female,1.0
Male,0.5308490464248906
Infant,0.5740576351245376
Male,0.5419096688938064
Infant,1.0
Female,1.0
Male,1.0
Male,1.0
Male,1.0
Male,1.0
Male,0.5113050474468244
Male,1.0
Infant,0.5475669361819644
Male,0.5250612349821768
Female,0.5407443256213362
Infant,1.0
Infant,1.0
Infant,0.6485767216847425
Infant,0.7300287604538512
Male,0.5332290782262382
Female,0.5307397479264319
Male,0.515471058748107
Infant,0.5284232852895219
Male,1.0
Male,1.0
Female,0.5225469760562661
Infant,0.6910506957031797
Male,1.0
Female,1.0
Male,1.0
Male,0.6310487719755872
Infant,0.6134713869641182
Male,1.0
Male,1.0
Female,1.0
Female,0.5768284319913896
Female,0.5422172316654547
Male,1.0
Female,1.0
Male,1.0
Female,1.0
Male,1.0
Male,0.5982752854531793
Male,0.6068392322054825
Male,0.5310992122809798
Infant,1.0
Female,0.5813315590941519
Male,1.0
Infant,1.0
Male,1.0
Infant,1.0
Male,1.0
Infant,0.5900081001713616
Female,0.5780110187511366
Male,1.0
Male,0.6900769251758022
Male,1.0
Infant,0.6399158868995634
Male,0.6544018941345817
Male,1.0
Female,0.5843771881770469
Female,0.754018666299328
Infant,1.0
Female,0.5124925279664141
Male,1.0
Female,1.0
Female,0.6376296932527988
Infant,1.0
Infant,1.0
Female,1.0
Male,1.0
Male,0.553223946357298
Male,1.0
Female,0.5500586456567412
Infant,1.0
Female,1.0
Male,1.0
Infant,1.0
Infant,1.0
Infant,1.0
Infant,1.0
Female,1.0
Infant,1.0
Infant,0.7137045135287636
Infant,1.0
Male,1.0
Male,1.0
Female,0.6355698824983211
Male,1.0
Infant,0.5329684307110456
Infant,1.0
Infant,1.0
Female,1.0
Female,0.6275866673926551
Male,1.0
Female,0.5390523129449817
Male,1.0
Female,1.0
Female,1.0
Male,0.5679068598182948
Male,0.625597898986641
Male,0.5285872641652116
Male,0.5758451172434964
Female,1.0
Infant,1.0
Infant,1.0
Male,0.5200035118756808
Male,1.0
Female,0.5380007603516214
Infant,0.5099672162014007
Female,1.0
Female,0.5425197213212564
Female,1.0
Male,0.5041926185872234
Male,0.5599842218799577
Infant,0.5786526081193573
Female,0.5212981841286474
Male,0.6287275735795539
Infant,1.0
Male,1.0
Male,1.0
Male,1.0
Infant,1.0
Female,1.0
Male,0.730622818408482
Male,1.0
Male,0.6607705483216623
Male,1.0
Female,1.0
Male,0.5323686528455117
Male,0.5343015425041907
Female,1.0
Male,0.6069578521907659
Male,1.0
Female,1.0
Female,1.0
Infant,1.0
Infant,1.0
Infant,1.0
Female,0.5278054986379198
Male,1.0
Male,1.0
Male,1.0
Female,0.5132356356420082
Infant,1.0
Infant,0.5157669419465548
Male,0.7970088474933986
Infant,1.0
Male,0.5523472982344485
Female,0.6064087676153648
Female,1.0
Infant,0.63976253474101
Male,1.0
Female,1.0
Female,1.0
Female,1.0
Infant,0.7165976740185288
Male,0.6623168866254816
Male,1.0
Male,0.6969319952519613
Infant,1.0
Infant,1.0
Male,0.6969991899365579
Male,0.6740557691138307
Male,0.5124709198127964
Infant,1.0
Infant,1.0
Male,0.5601096409030181
Female,0.5509385241155715
Female,1.0
Female,1.0
Male,0.5712380722422291
Female,0.6371670328623673
Infant,0.59095440003023
Infant,0.6898299630700113
Female,0.5366863923919687
Male,0.5701411430274523
Female,0.740091626572676
Female,1.0
Male,0.5245021830658442
Male,1.0
Female,0.563909719387998
Male,0.7008428423456281
Female,0.5562472022675959
Male,0.5477090151052738
Male,0.5373361283140169
Male,1.0
Female,1.0
Male,0.5407636261317599
Male,0.5499163486015808
Female,0.52108777314883
Female,1.0
Female,0.6701215319688566
Male,1.0
Male,0.5932403430667404
Female,1.0
Male,1.0
Male,0.7925483458120443
Infant,1.0
Male,1.0
Female,1.0
Infant,1.0
Male,1.0
Male,1.0
Female,1.0
Male,0.5177505509089202
Female,1.0
Female,0.6336295549519305
Male,1.0
Male,0.5074376121565253
Female,0.7218458225566525
Female,1.0
Female,1.0
Infant,0.5418061347752099
Male,0.6356546756416604
Infant,0.6475124274277906
Male,1.0
Male,0.5593899674507171
Male,1.0
Male,1.0
Male,1.0
Male,1.0
Male,1.0
Male,1.0
Female,0.6504448581574226
Female,1.0
Infant,0.6393027281665495
Male,0.6002699794990313
Male,0.5675192077406281
Male,0.6380311975175998
Infant,0.6133660854914359
Female,1.0
Male,1.0
Male,0.5157224147516513
Male,1.0
Infant,0.6871193256504263
Male,0.5807374462056082
Male,1.0
Male,0.5512338638417187
Female,0.5074044424785757
Female,0.561766586431826
Male,0.5906061517286904
Female,1.0
Female,0.518318666271846
Male,1.0
Infant,1.0
Female,0.5348526386261688
Infant,0.6570285389124347
Female,0.5662960353027829
Male,1.0
Male,0.5096209822771985
Male,1.0
Female,0.5349229350933181
Male,0.527193050085171
Female,0.5095148537727906
Male,0.6423984524257028
Male,1.0
Male,1.0
Male,1.0
Female,1.0
Male,0.5078246425508847
Male,1.0
Female,0.516398179583473
Female,0.5132306492299349
Infant,1.0
Infant,1.0
Male,0.5566803259483774
Infant,0.5682970358458213
Female,1.0
Infant,0.7370800634012188
Male,0.5590678630500762
Male,0.6839732300296903
Male,1.0
Male,0.7201878750562998
Female,1.0
Male,0.5892709749051176
Male,1.0
Infant,1.0
Infant,0.5708630450594846
Male,1.0
Male,1.0
Female,0.7081057728861779
Male,0.5012148760324263
Female,1.0
Female,0.5551107852841667
Female,0.6244180971791673
Female,0.5154478232479432
Male,1.0
Female,1.0
Male,0.5246643063587182
Male,0.6744852894224052
Female,1.0
Female,0.6522703779736706
Female,1.0
Female,0.5253681041723691
Male,0.6039764314547174
Female,0.5730048752939528
Female,0.5061069338735646
Male,1.0
Male,0.5181691361138446
Male,1.0
Male,0.7866277412505619
Male,1.0
Infant,1.0
Infant,1.0
Infant,1.0
Infant,1.0
Male,0.5397528019208352
Infant,0.5293584118672241
Female,0.6370005097647911
Infant,0.5002515208136424
Female,1.0
Male,1.0
Male,1.0
Male,1.0
Male,1.0
Female,1.0
Female,0.5309296625812177
Female,1.0
Male,0.5205864341353995
Female,1.0
Female,1.0
Female,1.0
Male,1.0
Female,1.0
Male,0.5321493993735986
