@relation abalone-weka.filters.unsupervised.instance.RemovePercentage-P60.0

@attribute class {Male,Female,Infant}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute 'Whole_weight' numeric
@attribute 'Shucked_weight' numeric
@attribute 'Viscera_weight' numeric
@attribute 'Shell_weight' numeric
@attribute Rings numeric

@data
Infant,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
Female,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10
Female,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
Infant,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11
Infant,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
Infant,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
Male,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
Infant,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
Male,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10
Male,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12
Female,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
Male,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4
Male,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
Infant,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
Infant,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
Male,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
Female,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
Male,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
Male,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9
Male,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
Male,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10
Infant,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18
Female,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
Female,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
Infant,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
Female,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
Female,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
Female,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
Infant,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
Male,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10
